"","filename","species","current","cc","cn","gf","he","mp"
"243","Leucospermum truncatulum_total_curr_2070.csv","Leucospermum truncatulum",252000,252000,252000,252000,252000,252000
"244","Leucospermum vestitum_total_curr_2010.csv","Leucospermum vestitum",252000,252000,252000,252000,252000,252000
"245","Leucospermum vestitum_total_curr_2040.csv","Leucospermum vestitum",252000,252000,252000,252000,252000,252000
"246","Leucospermum vestitum_total_curr_2070.csv","Leucospermum vestitum",252000,252000,252000,252000,252000,252000
"247","Leucospermum winteri_total_curr_2010.csv","Leucospermum winteri",252000,252000,252000,252000,252000,252000
"248","Leucospermum winteri_total_curr_2040.csv","Leucospermum winteri",252000,252000,252000,252000,252000,252000
"249","Leucospermum winteri_total_curr_2070.csv","Leucospermum winteri",252000,252000,252000,252000,252000,252000
"250","Mimetes arboreus_total_curr_2010.csv","Mimetes arboreus",252000,252000,252000,252000,252000,252000
"251","Mimetes arboreus_total_curr_2040.csv","Mimetes arboreus",252000,252000,252000,252000,252000,252000
"252","Mimetes arboreus_total_curr_2070.csv","Mimetes arboreus",252000,252000,252000,252000,252000,252000
"253","Mimetes argenteus_total_curr_2010.csv","Mimetes argenteus",252000,252000,252000,252000,252000,252000
"254","Mimetes argenteus_total_curr_2040.csv","Mimetes argenteus",252000,252000,252000,252000,252000,252000
"255","Mimetes argenteus_total_curr_2070.csv","Mimetes argenteus",252000,252000,252000,252000,252000,252000
"256","Mimetes capitulatus_total_curr_2010.csv","Mimetes capitulatus",252000,252000,252000,252000,252000,252000
